problem type,benchmark set,filename,number of orders,capacity,random seed,policy,opt?,UB,LB,time [s]
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-0.txt,20,30,0,optimal,True,3.077,3077.0,78.584
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-0.txt,20,30,0,largest_gap,True,3.231,3231.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-0.txt,20,30,0,traversal,True,3.76,3760.0,92.049
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-1.txt,20,30,1,optimal,True,3.168,3168.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-1.txt,20,30,1,largest_gap,True,3.416,3416.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-1.txt,20,30,1,traversal,True,3.972,3972.0,306.188
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-2.txt,20,30,2,optimal,True,3.509,3509.0,879.86
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-2.txt,20,30,2,largest_gap,True,3.737,3737.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-2.txt,20,30,2,traversal,True,4.462,4462.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-3.txt,20,30,3,optimal,True,2.814,2814.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-3.txt,20,30,3,largest_gap,True,2.949,2949.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-3.txt,20,30,3,traversal,True,3.23,3230.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-4.txt,20,30,4,optimal,True,2.763,2763.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-4.txt,20,30,4,largest_gap,True,2.885,2885.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-4.txt,20,30,4,traversal,True,3.301,3301.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-5.txt,20,30,5,optimal,True,3.538,3538.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-5.txt,20,30,5,largest_gap,True,3.807,3807.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-5.txt,20,30,5,traversal,True,4.289,4289.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-6.txt,20,30,6,optimal,True,3.314,3314.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-6.txt,20,30,6,largest_gap,True,3.428,3428.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-6.txt,20,30,6,traversal,True,4.1,4100.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-7.txt,20,30,7,optimal,True,3.78,3780.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-7.txt,20,30,7,largest_gap,True,3.942,3942.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-7.txt,20,30,7,traversal,True,4.474,4474.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-8.txt,20,30,8,optimal,True,4.127,4127.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-8.txt,20,30,8,largest_gap,True,4.366,4366.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-8.txt,20,30,8,traversal,True,4.916,4916.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-9.txt,20,30,9,optimal,True,4.158,4158.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-9.txt,20,30,9,largest_gap,True,4.502,4502.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-9.txt,20,30,9,traversal,True,5.095,5095.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-0.txt,20,45,0,optimal,True,2.362,2362.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-0.txt,20,45,0,largest_gap,True,2.572,2572.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-0.txt,20,45,0,traversal,True,2.701,2701.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-1.txt,20,45,1,optimal,True,2.485,2485.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-1.txt,20,45,1,largest_gap,True,2.611,2610.67,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-1.txt,20,45,1,traversal,True,2.815,2814.56,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-2.txt,20,45,2,optimal,True,2.195,2195.0,3600.0
