problem type,benchmark set,filename,number of orders,capacity,random seed,policy,opt?,UB,LB,time [s]
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_0.txt,20.0,24.0,1.0,optimal,True,649.0,649.0,397.606
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_0.txt,20.0,24.0,1.0,largest_gap,True,676.0,676.0,7.492
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_0.txt,20.0,24.0,1.0,midpoint,True,702.0,702.0,2.72
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_0.txt,20.0,24.0,1.0,return,True,869.0,868.8,10.877
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_0.txt,20.0,24.0,1.0,traversal,True,743.0,743.0,13.198
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_0.txt,20.0,24.0,1.0,composite,True,655.0,654.75,138.342
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_1.txt,20.0,24.0,2.0,optimal,True,655.0,655.0,458.108
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_1.txt,20.0,24.0,2.0,largest_gap,True,692.0,692.0,357.505
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_1.txt,20.0,24.0,2.0,midpoint,True,712.0,711.6,145.944
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_1.txt,20.0,24.0,2.0,return,True,892.0,892.4,30.744
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_1.txt,20.0,24.0,2.0,traversal,True,752.0,752.0,153.712
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_1.txt,20.0,24.0,2.0,composite,True,666.0,665.54,264.7
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_2.txt,20.0,24.0,3.0,optimal,True,674.0,674.0,46.928
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_2.txt,20.0,24.0,3.0,largest_gap,True,718.0,718.4,8.792
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_2.txt,20.0,24.0,3.0,midpoint,True,754.0,754.4,6.76
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_2.txt,20.0,24.0,3.0,return,True,909.0,909.15,2.912
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_2.txt,20.0,24.0,3.0,traversal,True,770.0,770.0,33.316
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_2.txt,20.0,24.0,3.0,composite,True,686.0,686.4,30.049
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_3.txt,20.0,24.0,4.0,optimal,True,580.0,580.0,16.428
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_3.txt,20.0,24.0,4.0,largest_gap,True,605.0,605.2,4.453
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_3.txt,20.0,24.0,4.0,midpoint,True,627.0,627.2,2.489
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_3.txt,20.0,24.0,4.0,return,True,809.0,809.2,8.109
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_3.txt,20.0,24.0,4.0,traversal,True,668.0,668.0,2.696
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_3.txt,20.0,24.0,4.0,composite,True,588.0,588.0,7.342
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_4.txt,20.0,24.0,5.0,optimal,True,569.0,569.0,92.842
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_4.txt,20.0,24.0,5.0,largest_gap,True,620.0,620.0,34.006
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_4.txt,20.0,24.0,5.0,midpoint,True,648.0,648.4,17.487
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_4.txt,20.0,24.0,5.0,return,True,725.0,725.2,15.733
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_4.txt,20.0,24.0,5.0,traversal,True,613.0,613.0,2.938
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_4.txt,20.0,24.0,5.0,composite,True,571.0,571.0,50.273
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_5.txt,20.0,24.0,6.0,optimal,True,523.0,523.0,1609.77
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_5.txt,20.0,24.0,6.0,largest_gap,True,550.0,549.52,288.144
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_5.txt,20.0,24.0,6.0,midpoint,True,562.0,561.57,28.652
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_5.txt,20.0,24.0,6.0,return,True,678.0,678.0,153.836
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_5.txt,20.0,24.0,6.0,traversal,True,565.0,565.0,142.542
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_5.txt,20.0,24.0,6.0,composite,True,526.0,525.51,627.451
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_6.txt,20.0,24.0,7.0,optimal,True,552.0,552.0,36.411
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_6.txt,20.0,24.0,7.0,largest_gap,True,572.0,572.0,17.551
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_6.txt,20.0,24.0,7.0,midpoint,True,584.0,583.6,3.208
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_6.txt,20.0,24.0,7.0,return,True,757.0,757.2,11.589
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_6.txt,20.0,24.0,7.0,traversal,True,628.0,628.0,21.578
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_6.txt,20.0,24.0,7.0,composite,True,560.0,559.6,78.722
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_7.txt,20.0,24.0,8.0,optimal,True,560.0,560.0,126.478
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_7.txt,20.0,24.0,8.0,largest_gap,True,574.0,574.0,7.862
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_7.txt,20.0,24.0,8.0,midpoint,True,582.0,582.0,4.026
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_7.txt,20.0,24.0,8.0,return,True,828.0,828.0,3.274
OrderBatching,MUTER_ONCAN,instances\Muter_Oncan\ins_20_24_7.txt,20.0,24.0,8.0,traversal,True,644.0,644.0,18.523
